GEOID,TRACT,BLKGRP,BLOCK,WARD
250173501071011,350107,250173501071,1011,1
250173501061005,350106,250173501061,1005,1
250173514043002,351404,250173514043,3002,1
250173514041004,351404,250173514041,1004,1
250173501071017,350107,250173501071,1017,1
250173501071022,350107,250173501071,1022,1
250173514031004,351403,250173514031,1004,1
250173501061006,350106,250173501061,1006,1
250173514032000,351403,250173514032,2000,1
250173502013005,350201,250173502013,3005,1
250173501071000,350107,250173501071,1000,1
250173514034003,351403,250173514034,4003,1
250173514043004,351404,250173514043,3004,1
250173514035001,351403,250173514035,5001,1
250173501071014,350107,250173501071,1014,1
250173515004004,351500,250173515004,4004,1
250173502011006,350201,250173502011,1006,1
250173514034001,351403,250173514034,4001,1
250173515004009,351500,250173515004,4009,1
250173514044007,351404,250173514044,4007,1
250173501071018,350107,250173501071,1018,1
250173501091024,350109,250173501091,1024,1
250173514042010,351404,250173514042,2010,1
250173501061016,350106,250173501061,1016,1
250173514044003,351404,250173514044,4003,1
250173501061017,350106,250173501061,1017,1
250173514043000,351404,250173514043,3000,1
250173501071005,350107,250173501071,1005,1
250173514032003,351403,250173514032,2003,1
250173501091016,350109,250173501091,1016,1
250173515004008,351500,250173515004,4008,1
250173501061011,350106,250173501061,1011,1
250173502013007,350201,250173502013,3007,1
250173514034004,351403,250173514034,4004,1
250173514041000,351404,250173514041,1000,1
250173514042000,351404,250173514042,2000,1
250173515004010,351500,250173515004,4010,1
250173501061013,350106,250173501061,1013,1
250173501061007,350106,250173501061,1007,1
250173501071010,350107,250173501071,1010,1
250173501071009,350107,250173501071,1009,1
250173514041005,351404,250173514041,1005,1
250173514031003,351403,250173514031,1003,1
250173514044005,351404,250173514044,4005,1
250173514033002,351403,250173514033,3002,1
250173501071003,350107,250173501071,1003,1
250173502011004,350201,250173502011,1004,1
250173514042011,351404,250173514042,2011,1
250173501071013,350107,250173501071,1013,1
250173515004005,351500,250173515004,4005,1
250173514032005,351403,250173514032,2005,1
250173501091017,350109,250173501091,1017,1
250173514031002,351403,250173514031,1002,1
250173502011001,350201,250173502011,1001,1
250173514043003,351404,250173514043,3003,1
250173501061001,350106,250173501061,1001,1
250173501071008,350107,250173501071,1008,1
250173501061008,350106,250173501061,1008,1
250173514041003,351404,250173514041,1003,1
250173514035002,351403,250173514035,5002,1
250173501071006,350107,250173501071,1006,1
250173514033004,351403,250173514033,3004,1
250173514031001,351403,250173514031,1001,1
250173514031000,351403,250173514031,1000,1
250173515004001,351500,250173515004,4001,1
250173502013004,350201,250173502013,3004,1
250173501061012,350106,250173501061,1012,1
250173514044004,351404,250173514044,4004,1
250173514044002,351404,250173514044,4002,1
250173514033003,351403,250173514033,3003,1
250173501071019,350107,250173501071,1019,1
250173502013006,350201,250173502013,3006,1
250173502011000,350201,250173502011,1000,1
250173501061018,350106,250173501061,1018,1
250173501071002,350107,250173501071,1002,1
250173515004003,351500,250173515004,4003,1
250173514032002,351403,250173514032,2002,1
250173501061015,350106,250173501061,1015,1
250173514043006,351404,250173514043,3006,1
250173514035003,351403,250173514035,5003,1
250173514034005,351403,250173514034,4005,1
250173514035000,351403,250173514035,5000,1
250173514033001,351403,250173514033,3001,1
250173514042009,351404,250173514042,2009,1
250173514034002,351403,250173514034,4002,1
250173501071007,350107,250173501071,1007,1
250173514043005,351404,250173514043,3005,1
250173502011007,350201,250173502011,1007,1
250173501071015,350107,250173501071,1015,1
250173515004007,351500,250173515004,4007,1
250173501061019,350106,250173501061,1019,1
250173501071021,350107,250173501071,1021,1
250173514032004,351403,250173514032,2004,1
250173514043001,351404,250173514043,3001,1
250173501061014,350106,250173501061,1014,1
250173514041001,351404,250173514041,1001,1
250173501071012,350107,250173501071,1012,1
250173514044006,351404,250173514044,4006,1
250173514032001,351403,250173514032,2001,1
250173501061002,350106,250173501061,1002,1
250173515004006,351500,250173515004,4006,1
250173501061004,350106,250173501061,1004,1
250173514042001,351404,250173514042,2001,1
250173514042002,351404,250173514042,2002,1
250173502013003,350201,250173502013,3003,1
250173514033000,351403,250173514033,3000,1
250173514032006,351403,250173514032,2006,1
250173514044001,351404,250173514044,4001,1
250173501071001,350107,250173501071,1001,1
250173501071020,350107,250173501071,1020,1
250173501071016,350107,250173501071,1016,1
250173514042003,351404,250173514042,2003,1
250173515004002,351500,250173515004,4002,1
250173501071004,350107,250173501071,1004,1
250173501061009,350106,250173501061,1009,1
250173502011005,350201,250173502011,1005,1
250173515004000,351500,250173515004,4000,1
250173514042008,351404,250173514042,2008,1
250173501061003,350106,250173501061,1003,1
250173514041002,351404,250173514041,1002,1
250173514034000,351403,250173514034,4000,1
250173514044000,351404,250173514044,4000,1
250173501061010,350106,250173501061,1010,1
250173515002008,351500,250173515002,2008,2
250173515002000,351500,250173515002,2000,2
250173512033002,351203,250173512033,3002,2
250173512034000,351203,250173512034,4000,2
250173515002015,351500,250173515002,2015,2
250173515003012,351500,250173515003,3012,2
250173512034004,351203,250173512034,4004,2
250173512033005,351203,250173512033,3005,2
250173515001010,351500,250173515001,1010,2
250173515001008,351500,250173515001,1008,2
250173515003004,351500,250173515003,3004,2
250173515002001,351500,250173515002,2001,2
250173515002005,351500,250173515002,2005,2
250173512043001,351204,250173512043,3001,2
250173515002006,351500,250173515002,2006,2
250173515001009,351500,250173515001,1009,2
250173512033007,351203,250173512033,3007,2
250173512043002,351204,250173512043,3002,2
250173512031002,351203,250173512031,1002,2
250173515001007,351500,250173515001,1007,2
250173511022004,351102,250173511022,2004,2
250173515002007,351500,250173515002,2007,2
250173510012007,351001,250173510012,2007,2
250173512043005,351204,250173512043,3005,2
250173512032003,351203,250173512032,2003,2
250173512032000,351203,250173512032,2000,2
250173515001006,351500,250173515001,1006,2
250173512043007,351204,250173512043,3007,2
250173512042001,351204,250173512042,2001,2
250173512043003,351204,250173512043,3003,2
250173512041002,351204,250173512041,1002,2
250173512043009,351204,250173512043,3009,2
250173515002004,351500,250173515002,2004,2
250173512042008,351204,250173512042,2008,2
250173510012010,351001,250173510012,2010,2
250173510012003,351001,250173510012,2003,2
250173510012006,351001,250173510012,2006,2
250173515002011,351500,250173515002,2011,2
250173515001003,351500,250173515001,1003,2
250173510012001,351001,250173510012,2001,2
250173510012009,351001,250173510012,2009,2
250173512033003,351203,250173512033,3003,2
250173512043006,351204,250173512043,3006,2
250173512041000,351204,250173512041,1000,2
250173515001001,351500,250173515001,1001,2
250173515003013,351500,250173515003,3013,2
250173515003010,351500,250173515003,3010,2
250173515003000,351500,250173515003,3000,2
250173512041008,351204,250173512041,1008,2
250173512042003,351204,250173512042,2003,2
250173512033001,351203,250173512033,3001,2
250173512042011,351204,250173512042,2011,2
250173515002013,351500,250173515002,2013,2
250173512043011,351204,250173512043,3011,2
250173512041003,351204,250173512041,1003,2
250173512042004,351204,250173512042,2004,2
250173512041009,351204,250173512041,1009,2
250173512034002,351203,250173512034,4002,2
250173515003007,351500,250173515003,3007,2
250173512043010,351204,250173512043,3010,2
250173512034007,351203,250173512034,4007,2
250173515002014,351500,250173515002,2014,2
250173512042002,351204,250173512042,2002,2
250173512034005,351203,250173512034,4005,2
250173510012000,351001,250173510012,2000,2
250173512031001,351203,250173512031,1001,2
250173515002016,351500,250173515002,2016,2
250173512041007,351204,250173512041,1007,2
250173515002012,351500,250173515002,2012,2
250173512033008,351203,250173512033,3008,2
250173515002017,351500,250173515002,2017,2
250173511022005,351102,250173511022,2005,2
250173512032006,351203,250173512032,2006,2
250173512032005,351203,250173512032,2005,2
250173515003006,351500,250173515003,3006,2
250173515002002,351500,250173515002,2002,2
250173515003009,351500,250173515003,3009,2
250173512034003,351203,250173512034,4003,2
250173512043008,351204,250173512043,3008,2
250173512031000,351203,250173512031,1000,2
250173515001002,351500,250173515001,1002,2
250173512043000,351204,250173512043,3000,2
250173511022002,351102,250173511022,2002,2
250173512043012,351204,250173512043,3012,2
250173510012005,351001,250173510012,2005,2
250173515003011,351500,250173515003,3011,2
250173512034006,351203,250173512034,4006,2
250173512041010,351204,250173512041,1010,2
250173512032007,351203,250173512032,2007,2
250173510012002,351001,250173510012,2002,2
250173510012004,351001,250173510012,2004,2
250173515001000,351500,250173515001,1000,2
250173515001005,351500,250173515001,1005,2
250173512031003,351203,250173512031,1003,2
250173512032002,351203,250173512032,2002,2
250173515003003,351500,250173515003,3003,2
250173510012008,351001,250173510012,2008,2
250173515003005,351500,250173515003,3005,2
250173512032001,351203,250173512032,2001,2
250173512033006,351203,250173512033,3006,2
250173512031004,351203,250173512031,1004,2
250173512033004,351203,250173512033,3004,2
250173515003008,351500,250173515003,3008,2
250173515002009,351500,250173515002,2009,2
250173512033000,351203,250173512033,3000,2
250173515002010,351500,250173515002,2010,2
250173512042010,351204,250173512042,2010,2
250173512034001,351203,250173512034,4001,2
250173510012011,351001,250173510012,2011,2
250173512041001,351204,250173512041,1001,2
250173515003002,351500,250173515003,3002,2
250173515002003,351500,250173515002,2003,2
250173515001004,351500,250173515001,1004,2
250173512042009,351204,250173512042,2009,2
250173512043004,351204,250173512043,3004,2
250173512033009,351203,250173512033,3009,2
250173515003001,351500,250173515003,3001,2
250173512032004,351203,250173512032,2004,2
250173511012008,351101,250173511012,2008,3
250173511013005,351101,250173511013,3005,3
250173511021000,351102,250173511021,1000,3
250173513002004,351300,250173513002,2004,3
250173512042007,351204,250173512042,2007,3
250173502022009,350202,250173502022,2009,3
250173511012003,351101,250173511012,2003,3
250173511021001,351102,250173511021,1001,3
250173510011000,351001,250173510011,1000,3
250173513002003,351300,250173513002,2003,3
250173512042012,351204,250173512042,2012,3
250173511013008,351101,250173511013,3008,3
250173510011006,351001,250173510011,1006,3
250173512041011,351204,250173512041,1011,3
250173513001000,351300,250173513001,1000,3
250173513001004,351300,250173513001,1004,3
250173513002001,351300,250173513002,2001,3
250173511013001,351101,250173511013,3001,3
250173510011001,351001,250173510011,1001,3
250173510011005,351001,250173510011,1005,3
250173512042006,351204,250173512042,2006,3
250173513002002,351300,250173513002,2002,3
250173513002006,351300,250173513002,2006,3
250173511012006,351101,250173511012,2006,3
250173511022000,351102,250173511022,2000,3
250173513002005,351300,250173513002,2005,3
250173513003001,351300,250173513003,3001,3
250173513003005,351300,250173513003,3005,3
250173510023001,351002,250173510023,3001,3
250173511012001,351101,250173511012,2001,3
250173513002009,351300,250173513002,2009,3
250173511013006,351101,250173511013,3006,3
250173511021004,351102,250173511021,1004,3
250173510011002,351001,250173510011,1002,3
250173511013002,351101,250173511013,3002,3
250173510011003,351001,250173510011,1003,3
250173511012002,351101,250173511012,2002,3
250173512041004,351204,250173512041,1004,3
250173512042000,351204,250173512042,2000,3
250173511013003,351101,250173511013,3003,3
250173513002010,351300,250173513002,2010,3
250173513001009,351300,250173513001,1009,3
250173511012007,351101,250173511012,2007,3
250173511012005,351101,250173511012,2005,3
250173513003004,351300,250173513003,3004,3
250173511022003,351102,250173511022,2003,3
250173513001005,351300,250173513001,1005,3
250173512041005,351204,250173512041,1005,3
250173513001007,351300,250173513001,1007,3
250173511012000,351101,250173511012,2000,3
250173502022013,350202,250173502022,2013,3
250173513002000,351300,250173513002,2000,3
250173510011004,351001,250173510011,1004,3
250173511013007,351101,250173511013,3007,3
250173513003002,351300,250173513003,3002,3
250173511022001,351102,250173511022,2001,3
250173513001002,351300,250173513001,1002,3
250173510023004,351002,250173510023,3004,3
250173513002008,351300,250173513002,2008,3
250173511013009,351101,250173511013,3009,3
250173512042005,351204,250173512042,2005,3
250173513001008,351300,250173513001,1008,3
250173512041006,351204,250173512041,1006,3
250173513002007,351300,250173513002,2007,3
250173513001006,351300,250173513001,1006,3
250173511021002,351102,250173511021,1002,3
250173513003003,351300,250173513003,3003,3
250173513003000,351300,250173513003,3000,3
250173513001003,351300,250173513001,1003,3
250173510023003,351002,250173510023,3003,3
250173512041012,351204,250173512041,1012,3
250173511021003,351102,250173511021,1003,3
250173511012004,351101,250173511012,2004,3
250173501051013,350105,250173501051,1013,4
250173501091009,350109,250173501091,1009,4
250173502012005,350201,250173502012,2005,4
250173514042005,351404,250173514042,2005,4
250173514042004,351404,250173514042,2004,4
250173502022006,350202,250173502022,2006,4
250173501051002,350105,250173501051,1002,4
250173501081013,350108,250173501081,1013,4
250173501051019,350105,250173501051,1019,4
250173501051009,350105,250173501051,1009,4
250173501081009,350108,250173501081,1009,4
250173501082009,350108,250173501082,2009,4
250173502012001,350201,250173502012,2001,4
250173501091020,350109,250173501091,1020,4
250173514042007,351404,250173514042,2007,4
250173501091011,350109,250173501091,1011,4
250173502022011,350202,250173502022,2011,4
250173502023001,350202,250173502023,3001,4
250173502022003,350202,250173502022,2003,4
250173502022005,350202,250173502022,2005,4
250173501081006,350108,250173501081,1006,4
250173501081010,350108,250173501081,1010,4
250173501091019,350109,250173501091,1019,4
250173501051017,350105,250173501051,1017,4
250173502023004,350202,250173502023,3004,4
250173501081012,350108,250173501081,1012,4
250173501051005,350105,250173501051,1005,4
250173501082012,350108,250173501082,2012,4
250173502023002,350202,250173502023,3002,4
250173501081001,350108,250173501081,1001,4
250173501082010,350108,250173501082,2010,4
250173502011002,350201,250173502011,1002,4
250173501091023,350109,250173501091,1023,4
250173501091004,350109,250173501091,1004,4
250173501091013,350109,250173501091,1013,4
250173501081008,350108,250173501081,1008,4
250173501091012,350109,250173501091,1012,4
250173501091015,350109,250173501091,1015,4
250173501091002,350109,250173501091,1002,4
250173502012002,350201,250173502012,2002,4
250173502022014,350202,250173502022,2014,4
250173501051001,350105,250173501051,1001,4
250173501091006,350109,250173501091,1006,4
250173501051011,350105,250173501051,1011,4
250173502022004,350202,250173502022,2004,4
250173502023003,350202,250173502023,3003,4
250173502012004,350201,250173502012,2004,4
250173501081014,350108,250173501081,1014,4
250173501051008,350105,250173501051,1008,4
250173501082005,350108,250173501082,2005,4
250173502012006,350201,250173502012,2006,4
250173501091003,350109,250173501091,1003,4
250173501051018,350105,250173501051,1018,4
250173501081003,350108,250173501081,1003,4
250173501051016,350105,250173501051,1016,4
250173501091008,350109,250173501091,1008,4
250173501082002,350108,250173501082,2002,4
250173501082000,350108,250173501082,2000,4
250173502013000,350201,250173502013,3000,4
250173502011003,350201,250173502011,1003,4
250173513001001,351300,250173513001,1001,4
250173501091005,350109,250173501091,1005,4
250173502022012,350202,250173502022,2012,4
250173502013002,350201,250173502013,3002,4
250173501051014,350105,250173501051,1014,4
250173501091022,350109,250173501091,1022,4
250173501081011,350108,250173501081,1011,4
250173501051003,350105,250173501051,1003,4
250173501082006,350108,250173501082,2006,4
250173501081007,350108,250173501081,1007,4
250173502013001,350201,250173502013,3001,4
250173502022000,350202,250173502022,2000,4
250173502022007,350202,250173502022,2007,4
250173501091007,350109,250173501091,1007,4
250173501091000,350109,250173501091,1000,4
250173501082007,350108,250173501082,2007,4
250173501082001,350108,250173501082,2001,4
250173501051004,350105,250173501051,1004,4
250173501051007,350105,250173501051,1007,4
250173502023006,350202,250173502023,3006,4
250173501081000,350108,250173501081,1000,4
250173501091001,350109,250173501091,1001,4
250173501081005,350108,250173501081,1005,4
250173501091010,350109,250173501091,1010,4
250173501091018,350109,250173501091,1018,4
250173501091021,350109,250173501091,1021,4
250173502022010,350202,250173502022,2010,4
250173501081002,350108,250173501081,1002,4
250173502011008,350201,250173502011,1008,4
250173501082008,350108,250173501082,2008,4
250173514042006,351404,250173514042,2006,4
250173502023005,350202,250173502023,3005,4
250173502012000,350201,250173502012,2000,4
250173501081004,350108,250173501081,1004,4
250173502023000,350202,250173502023,3000,4
250173501051010,350105,250173501051,1010,4
250173502012003,350201,250173502012,2003,4
250173501051006,350105,250173501051,1006,4
250173501051015,350105,250173501051,1015,4
250173501082011,350108,250173501082,2011,4
250173501091014,350109,250173501091,1014,4
250173501051012,350105,250173501051,1012,4
250173504002007,350400,250173504002,2007,5
250173501082003,350108,250173501082,2003,5
250173503003001,350300,250173503003,3001,5
250173503003012,350300,250173503003,3012,5
250173511013004,351101,250173511013,3004,5
250173502021004,350202,250173502021,1004,5
250173502021006,350202,250173502021,1006,5
250173503001000,350300,250173503001,1000,5
250173510022004,351002,250173510022,2004,5
250173510013009,351001,250173510013,3009,5
250173510021000,351002,250173510021,1000,5
250173503002002,350300,250173503002,2002,5
250173510021002,351002,250173510021,1002,5
250173502021008,350202,250173502021,1008,5
250173503003008,350300,250173503003,3008,5
250173510013010,351001,250173510013,3010,5
250173510021003,351002,250173510021,1003,5
250173502022008,350202,250173502022,2008,5
250173503001002,350300,250173503001,1002,5
250173503001004,350300,250173503001,1004,5
250173510023005,351002,250173510023,3005,5
250173511011002,351101,250173511011,1002,5
250173504002000,350400,250173504002,2000,5
250173510013013,351001,250173510013,3013,5
250173504001009,350400,250173504001,1009,5
250173503003002,350300,250173503003,3002,5
250173504003004,350400,250173504003,3004,5
250173510023002,351002,250173510023,3002,5
250173511013000,351101,250173511013,3000,5
250173510021001,351002,250173510021,1001,5
250173504002006,350400,250173504002,2006,5
250173510013012,351001,250173510013,3012,5
250173510013005,351001,250173510013,3005,5
250173511011005,351101,250173511011,1005,5
250173510013001,351001,250173510013,3001,5
250173510022006,351002,250173510022,2006,5
250173502021005,350202,250173502021,1005,5
250173511011001,351101,250173511011,1001,5
250173503002003,350300,250173503002,2003,5
250173503003013,350300,250173503003,3013,5
250173503002004,350300,250173503002,2004,5
250173510013002,351001,250173510013,3002,5
250173504003003,350400,250173504003,3003,5
250173504003001,350400,250173504003,3001,5
250173510023000,351002,250173510023,3000,5
250173503001006,350300,250173503001,1006,5
250173502021003,350202,250173502021,1003,5
250173502021001,350202,250173502021,1001,5
250173504003000,350400,250173504003,3000,5
250173503002006,350300,250173503002,2006,5
250173503001005,350300,250173503001,1005,5
250173510013006,351001,250173510013,3006,5
250173502021002,350202,250173502021,1002,5
250173510013003,351001,250173510013,3003,5
250173503003007,350300,250173503003,3007,5
250173501082004,350108,250173501082,2004,5
250173511011006,351101,250173511011,1006,5
250173510022005,351002,250173510022,2005,5
250173503003009,350300,250173503003,3009,5
250173503003000,350300,250173503003,3000,5
250173502022002,350202,250173502022,2002,5
250173503002001,350300,250173503002,2001,5
250173503002005,350300,250173503002,2005,5
250173504002001,350400,250173504002,2001,5
250173504003002,350400,250173504003,3002,5
250173503003003,350300,250173503003,3003,5
250173510013011,351001,250173510013,3011,5
250173503003010,350300,250173503003,3010,5
250173502022001,350202,250173502022,2001,5
250173502021007,350202,250173502021,1007,5
250173503001003,350300,250173503001,1003,5
250173503003011,350300,250173503003,3011,5
250173504002005,350400,250173504002,2005,5
250173503003006,350300,250173503003,3006,5
250173503003005,350300,250173503003,3005,5
250173503003014,350300,250173503003,3014,5
250173510013004,351001,250173510013,3004,5
250173502021000,350202,250173502021,1000,5
250173510013007,351001,250173510013,3007,5
250173503002007,350300,250173503002,2007,5
250173503002000,350300,250173503002,2000,5
250173503003004,350300,250173503003,3004,5
250173511011000,351101,250173511011,1000,5
250173510013008,351001,250173510013,3008,5
250173504002002,350400,250173504002,2002,5
250173511011004,351101,250173511011,1004,5
250173511011003,351101,250173511011,1003,5
250173503001001,350300,250173503001,1001,5
250173504002003,350400,250173504002,2003,5
250173510022002,351002,250173510022,2002,6
250173509002004,350900,250173509002,2004,6
250173504004003,350400,250173504004,4003,6
250173509003015,350900,250173509003,3015,6
250173504001004,350400,250173504001,1004,6
250173504004004,350400,250173504004,4004,6
250173504004009,350400,250173504004,4009,6
250173504005004,350400,250173504005,5004,6
250173509001008,350900,250173509001,1008,6
250173509001007,350900,250173509001,1007,6
250173504004012,350400,250173504004,4012,6
250173504004002,350400,250173504004,4002,6
250173504001008,350400,250173504001,1008,6
250173505001000,350500,250173505001,1000,6
250173509003009,350900,250173509003,3009,6
250173504001003,350400,250173504001,1003,6
250173506004007,350600,250173506004,4007,6
250173509001001,350900,250173509001,1001,6
250173504004008,350400,250173504004,4008,6
250173509002006,350900,250173509002,2006,6
250173504005006,350400,250173504005,5006,6
250173509001002,350900,250173509001,1002,6
250173509001005,350900,250173509001,1005,6
250173509003006,350900,250173509003,3006,6
250173510013000,351001,250173510013,3000,6
250173505001007,350500,250173505001,1007,6
250173509002008,350900,250173509002,2008,6
250173509003002,350900,250173509003,3002,6
250173504004013,350400,250173504004,4013,6
250173505001002,350500,250173505001,1002,6
250173505001001,350500,250173505001,1001,6
250173506001004,350600,250173506001,1004,6
250173505001008,350500,250173505001,1008,6
250173509003018,350900,250173509003,3018,6
250173509003020,350900,250173509003,3020,6
250173509002001,350900,250173509002,2001,6
250173509002003,350900,250173509002,2003,6
250173504003005,350400,250173504003,3005,6
250173504002004,350400,250173504002,2004,6
250173509003011,350900,250173509003,3011,6
250173509003012,350900,250173509003,3012,6
250173506001003,350600,250173506001,1003,6
250173505001003,350500,250173505001,1003,6
250173504004011,350400,250173504004,4011,6
250173504005005,350400,250173504005,5005,6
250173509003010,350900,250173509003,3010,6
250173504005002,350400,250173504005,5002,6
250173504001001,350400,250173504001,1001,6
250173509003022,350900,250173509003,3022,6
250173504004005,350400,250173504004,4005,6
250173504004000,350400,250173504004,4000,6
250173504005007,350400,250173504005,5007,6
250173505002000,350500,250173505002,2000,6
250173505001005,350500,250173505001,1005,6
250173504004001,350400,250173504004,4001,6
250173504005000,350400,250173504005,5000,6
250173504004010,350400,250173504004,4010,6
250173510022003,351002,250173510022,2003,6
250173504001005,350400,250173504001,1005,6
250173509001004,350900,250173509001,1004,6
250173510022001,351002,250173510022,2001,6
250173509003005,350900,250173509003,3005,6
250173509002010,350900,250173509002,2010,6
250173508002005,350800,250173508002,2005,6
250173504003006,350400,250173504003,3006,6
250173509001006,350900,250173509001,1006,6
250173506004005,350600,250173506004,4005,6
250173504003007,350400,250173504003,3007,6
250173509002005,350900,250173509002,2005,6
250173504001002,350400,250173504001,1002,6
250173509003001,350900,250173509003,3001,6
250173504004007,350400,250173504004,4007,6
250173509001003,350900,250173509001,1003,6
250173509003003,350900,250173509003,3003,6
250173509002002,350900,250173509002,2002,6
250173509003013,350900,250173509003,3013,6
250173505001004,350500,250173505001,1004,6
250173509003000,350900,250173509003,3000,6
250173509002000,350900,250173509002,2000,6
250173506001002,350600,250173506001,1002,6
250173509003017,350900,250173509003,3017,6
250173504001006,350400,250173504001,1006,6
250173509003014,350900,250173509003,3014,6
250173506001001,350600,250173506001,1001,6
250173509002009,350900,250173509002,2009,6
250173509001000,350900,250173509001,1000,6
250173504004006,350400,250173504004,4006,6
250173504005001,350400,250173504005,5001,6
250173508002004,350800,250173508002,2004,6
250173504001000,350400,250173504001,1000,6
250173509003016,350900,250173509003,3016,6
250173509002007,350900,250173509002,2007,6
250173504005003,350400,250173504005,5003,6
250173510022000,351002,250173510022,2000,6
250173504001007,350400,250173504001,1007,6
250173509003007,350900,250173509003,3007,6
250173505002001,350500,250173505002,2001,6
250173509003019,350900,250173509003,3019,6
250173505001006,350500,250173505001,1006,6
250173509003008,350900,250173509003,3008,6
250173509003021,350900,250173509003,3021,6
250173506001000,350600,250173506001,1000,6
250173504001010,350400,250173504001,1010,6
250173506004006,350600,250173506004,4006,6
250173507021011,350702,250173507021,1011,7
250173507023005,350702,250173507023,3005,7
250173508002001,350800,250173508002,2001,7
250173506004004,350600,250173506004,4004,7
250173506003000,350600,250173506003,3000,7
250173507022003,350702,250173507022,2003,7
250173505002005,350500,250173505002,2005,7
250173506003003,350600,250173506003,3003,7
250173507021005,350702,250173507021,1005,7
250173506003002,350600,250173506003,3002,7
250173506004001,350600,250173506004,4001,7
250173506002003,350600,250173506002,2003,7
250173505002002,350500,250173505002,2002,7
250173507022000,350702,250173507022,2000,7
250173506002007,350600,250173506002,2007,7
250173506003004,350600,250173506003,3004,7
250173507011004,350701,250173507011,1004,7
250173507011007,350701,250173507011,1007,7
250173509003004,350900,250173509003,3004,7
250173507013002,350701,250173507013,3002,7
250173508001006,350800,250173508001,1006,7
250173507012003,350701,250173507012,2003,7
250173508001002,350800,250173508001,1002,7
250173507021003,350702,250173507021,1003,7
250173507011000,350701,250173507011,1000,7
250173507023003,350702,250173507023,3003,7
250173507012000,350701,250173507012,2000,7
250173508001004,350800,250173508001,1004,7
250173507021002,350702,250173507021,1002,7
250173507023002,350702,250173507023,3002,7
250173506002009,350600,250173506002,2009,7
250173507021000,350702,250173507021,1000,7
250173506003007,350600,250173506003,3007,7
250173507021013,350702,250173507021,1013,7
250173505002003,350500,250173505002,2003,7
250173507021014,350702,250173507021,1014,7
250173507011008,350701,250173507011,1008,7
250173507012005,350701,250173507012,2005,7
250173507013001,350701,250173507013,3001,7
250173506004000,350600,250173506004,4000,7
250173506002005,350600,250173506002,2005,7
250173506002000,350600,250173506002,2000,7
250173508002000,350800,250173508002,2000,7
250173506002010,350600,250173506002,2010,7
250173507022002,350702,250173507022,2002,7
250173508001001,350800,250173508001,1001,7
250173507011001,350701,250173507011,1001,7
250173507021004,350702,250173507021,1004,7
250173506002004,350600,250173506002,2004,7
250173507023000,350702,250173507023,3000,7
250173506002002,350600,250173506002,2002,7
250173508002003,350800,250173508002,2003,7
250173505002004,350500,250173505002,2004,7
250173506003010,350600,250173506003,3010,7
250173507021007,350702,250173507021,1007,7
250173508002007,350800,250173508002,2007,7
250173507021009,350702,250173507021,1009,7
250173506003009,350600,250173506003,3009,7
250173507012007,350701,250173507012,2007,7
250173508002006,350800,250173508002,2006,7
250173507013003,350701,250173507013,3003,7
250173507022001,350702,250173507022,2001,7
250173507011006,350701,250173507011,1006,7
250173505002006,350500,250173505002,2006,7
250173508001005,350800,250173508001,1005,7
250173508001003,350800,250173508001,1003,7
250173506002006,350600,250173506002,2006,7
250173507012001,350701,250173507012,2001,7
250173507023004,350702,250173507023,3004,7
250173506003001,350600,250173506003,3001,7
250173507012006,350701,250173507012,2006,7
250173508001000,350800,250173508001,1000,7
250173507021008,350702,250173507021,1008,7
250173508002002,350800,250173508002,2002,7
250173507012002,350701,250173507012,2002,7
250173507011003,350701,250173507011,1003,7
250173506003006,350600,250173506003,3006,7
250173507011005,350701,250173507011,1005,7
250173507021012,350702,250173507021,1012,7
250173506002008,350600,250173506002,2008,7
250173506004003,350600,250173506004,4003,7
250173507011002,350701,250173507011,1002,7
250173507011009,350701,250173507011,1009,7
250173507013000,350701,250173507013,3000,7
250173507012004,350701,250173507012,2004,7
250173506003008,350600,250173506003,3008,7
250173506004002,350600,250173506004,4002,7
250173507023001,350702,250173507023,3001,7
250173507021001,350702,250173507021,1001,7
250173506003005,350600,250173506003,3005,7
250173507021010,350702,250173507021,1010,7
250173506002001,350600,250173506002,2001,7
250173507021006,350702,250173507021,1006,7
